"nid","title","field_tipo_da_impress_o","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_material_7","field_pre_o_7","field_observa_o","field_fonte"
"12533","ABEI JOURNAL 14","","2013","15","HUMANITAS","ADMINISTRATIVA","HELENA (HUMANITAS)","200","160","21 X 28","","3000 FLS DE PAPEL OFF-SET 75 GRS 66 X 96","R$ 750.00","50 CHAPAS DE ALUMÍNIO FORMATO 0,72 X 0,61 cm","R$500.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS)<br />
FONTE PAGADORA: INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12534","ESTILOS DA CLÍNICA 17. 2","","2013","16","INSTITUTO DE PSICOLOGIA","ACADÊMICA","HELENA (HUMANITAS)","300","240","16 X 22","08/05/2013","3380 FLS DE PAPEL OFF-SET 75 GRS 66 X 96","R$ 845.00","300 FLS DE CARTÃO SUPREMO 250 GRS","R$360.00","80 CHAPAS DE ALUMÍNIO DUPLO OFÍCIO OFF-SET","R$560.00","LAMINAÇÃO BRILHANTE","R$150.00","IMPRESSÃO DA CAPA 4 CORES","R$450.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS)<br />
FONTE PAGADORA: TRANSPOSIÇÃO ORÇAMENTÁRIA DO INSTITUTO DE PSICOLOGIA</p>
",""
"12535","CADERNOS ESPINOSANOS 24","","2013","17","HUMANITAS","ACADÊMICA","HELENA (HUMANITAS)","200","204","16 X 23","","200 FLS DE PAPEL CARTÃO SUPREMO 250 GRS 66 X 96","R$ 400.00","3825 FLS DE PAPEL OFF-SET 75 GRS 66 X 96","","77 CHAPAS DE ALUMÍNIO DUPLO OFÍCIO OFF-SET","R$770.00","4 FOTOLITOS","R$180.00","LAMINAÇÃO FOSCA","R$150.00","IMPRESSÃO 4 CORES","R$450.00","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS)<br />
FONTE PAGADORA: DPTO. DE FILOSOFIA (CAPA): R$1.715,94<br />
                              ADMINISTRAÇÃO (MIOLO): R$ 2.062,19</p>
",""
"12536","JORNAL O KULA Nº 11","","2013","18","CEUPES","ACADÊMICA","VINÍCIUS LOOTH FERNANDES MOREIRA","300","20","A4","","470 FLS DE PAPEL JORNAL 52 GRS 66 X 96","R$ 141.00","13 CHAPAS DE ALUMÍNIO DUPLO OFÍCIO OFF-SET","R$91.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: VINÍCIUS LOOTH FERNANDES MOREIRA<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12537","REVISTA DE FILOLOGIA E LINGUÍSTICA PORTUGUESA 14 (1)","","2013","19","HUMANITAS","ADMINISTRATIVA","HELENA (HUMANITAS)","200","180","16 X 22","","1688 FLS DE PAPEL OFF-SET 75 GRS 66 X 96","R$ 422.00","200 FLS DE PAPEL CARTÃO 250 GRS 50 X 66","R$240.00","60 CHAPAS DE ALUMÍNIO DUPLO OFÍCIO OFF-SET","R$420.00","IMPRESSÃO EM 2 CORES","R$150.00","PLASTIFICAÇÃO","R$75.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS)<br />
FONTE PAGADORA: INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12538","BOLETIM OFICIAL DA ASSOCIAÇÃO ATLÉTICA ACADÊMICA OSWALD DE ANDRADE","","2014","3","ASSOCIAÇÃO ATLÉTICA ACADÊMICA OSWALD DE ANDRADE","ACADÊMICA","ISABELLA BARBOZA VIANA","800","62","A5","","1940 FLS DE PAPEL OFF SET 75 GRS 66 X 96","","250 FLS DE PAPEL COLOR PLUS CARTAGENA 180GRS 66X96","","20 CHAPAS DE ALUMÍNIO DUPLO OFÍCIO OFFSET(CATU510)","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: ISABELLA BARBOZA VIANA<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12539","MANUAL DO CALOURO E DA CALOURA- CAF","","2014","4","CENTRO ACÂDEMICO DE FILOSOFIA","ACADÊMICA","JOÃO CRUZ COSTA","500","32","A4","","1250 FLS DE PAPEL JORNAL 52 GRS 66 X 96","R$ 125.00","20 CHAPAS DE ALUMÍNIO DUPLO OFICIO OFFSET(CATU510)","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: JOÃO CRUZ COSTA<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12540","ABEI JOURNAL 15","","2014","5","HUMANITAS","ADMINISTRATIVA","HELENA (HUMANITAS)","200","198","21 X 28","","3713 FLS DE PAPEL OFF SET 75 GRS 66 X 96","","124 CHAPAS DE ALUMINIO DUPLO OFICIO OFFSET(HAMADA)","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS)<br />
FONTE PAGADORA: INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12541","MANUAL DA CALOURADA DA GEOGRAFIA- CEGE","","2014","6","CEGE- CENTRO DE ESTUDOS GEOGRÁFICOS","ACADÊMICA","FÁBIO FELIPE DE MELO","170","36","A5","","287 FLS DE PAPEL JORNAL 52 GRS 66 X 96","","12 CHAPAS DE ALUMÍNIO DUPLO OFICIO OFFSET(CATU510)","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: FÁBIO FELIPE DE MELO<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12542","CADERNO PROFESSORA EMÉRITA MARIA LIGIA COELHO PRADO","","2014","7","ASSISTÊNCIA ACADÊMICA","ACADÊMICA","ROSÂNGELA DUARTE VICENTE","200","28","A5","","263 FLS DE PAPEL OFF-SET 75 GRS 66 X 96","","75 FLS DE PAPEL SULFITE 180 GRS 66 X 96","","10 CHAPAS DE ALUMÍNIO DUPLO OFÍCIO OFFSET(CATU510)","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: ROSÂNGELA DUARTE VICENTE<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12543","MANUAL DO CALOURO DE HISTÓRIA","","2014","8","CENTRO ACADÊMICO DE HISTÓRIA","ACADÊMICA","JOICE FERREIRA","300","40","A5","","563 FLS DE PAPEL JORNAL 52 GRS 66 X 96","","13 CHAPAS DE ALUMÍNIO DUPLO OFÍCIO OFFSET(CATU510)","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: JOICE FERREIRA<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12544","ATAS DA V SEMANA DE FILOLOGIA DA USP","","2014","9","DLCV","ACADEMICO","LUIZ ANTÔNIO LINDO","150","326","A 5","10/02/2014","2293 FLS DE PAPEL OFF SET 75 GRS 66 X96","","115 FLS DE CARTÃO AMARELO 240 GRS 55 X 73","","102 CHAPAS DE ALUMINIO DUPLO  OFICIO ( CATÚ 510)","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:PROFº.DRº. LUIZ ANTÔNIO LINDO<br />
FONTE PAGADORA:PROCESSO 09.1.5750.8.3</p>
",""
"12545","LIVROS: EXPRESSÕES E ESTRUTURAS BÁSICAS DA LÍNGUA JAPONESA","","2014","10","DLO","ACADEMICA","PRFº.WATARU KIKUCHI","1000","350"," 20,5 X 27,5","","27.345 FLS DE PAPEL OFF SET 75 GRS 66 X96","","110 CHAPS DE ALUMINIO DUPLO OFICIO (HEIDELBERG)","","750 FLS DR PAPEL SUPREMO 250 GRS 66 X 96","","LAMINAÇÃO FOSCA","R$150.00","IMPRESSÃO 4 CORES","R$450.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:PROFº. WATARU KIKUCHI<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12546","MANUAL DO CALOURO-CEUPES","","2014","11","CEUPES","ACADEMICA","ANA MARIA DO NASCIMENTO","170","40","A 5","","391 FLS DE PAPEL JORNAL 52 GRS 66 X 96","","13 CHAPAS DE ALUMINIO DUPLO OFICIO ( CATÚ 510 )","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: ANA MARIA DO NASCIMENTO<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12547","CADERNOS DE RESUMOS E BLOCOS DE RASCUNHO VI EPED","","2014","12","DLCV","ACADÊMICA","PROFª  DRª  ZILDA G. OLIVEIRA DE AQUINO","","","A5","04/04/2014","430 FLS DE PAPEL OFF SET 75 GRS 66 X 96","","285FLS DE PAPEL OFF SET 75 GRS 66 X 96 (BLOCO)","","41 FLS DE PAPEL COLOR PLUS 120 GRS 66 X 96","","28 CHAPAS DE ALUMINIO OFF SET (CATU510)","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: PROFª  DRª  ZILDA G. OLIVEIRA DE AQUINO<br />
FONTE PAGADORA: DIRETORIA<br />
Obs: Cadenos: 70 originais - tiragem 130/ Blocos: 130 blocos com 20 páginas cada.</p>
",""
"12548","REVISTA TRAD. TERM  22","","2014","13","HUMANITAS","ADM","HELENA","200","380"," 16 X 22","","3.565 FLS DE PAPEL OFF SET 75GRS 66 X96","","150 FLS DE PAPEL CARTÃO 290 GRS 50 X 66","","120 CHAPAS DE ALUMINIO DUPLO  OFF-SET ( CATÚ-510 )",""," IMPRESSÃO 2 CORES","R$150.00","PLASTIFICAÇÕA","R$50.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS)<br />
FONTE PAGADORA:INTEGRAL PARA A ADMINISTRAÇÃO.</p>
",""
"12549","JORNAL DISCURSO SEM MÉTODO","","2014","14","CENTRO  ACADÊMICO DE FILOSOFIA","ACADÊMICA","INAUÊ  TAIGUARA","700","36"," A 4","","1.970 FLS DE PAPEL JORNAL 52 GRS 66 X96","R$ 197.00","23 CHAPAS DE ALUMINIO DUPLO OFICIO  (CATÚ510)","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:INAUÊ TAIGUARA<br />
FONTE PAGADORA: VERBA CAF</p>
",""
"12550","REVISTA CISMA N° 4","","2014","15","HUMANITAS","ADMINISTRATIVA","HELENA (HUMANITAS)","200","84","16 X 22","05/05/2014","788 FLS DE PAPEL OFF SET 75 GRS 66 X 96","","75 FLS DE PAPEL COLOR PLUS NICE 180 GRS 66 X 96","","27 CHAPAS DE ALUMÍNIO DUPLO OFICIO OFFSET(CATU510)","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS)<br />
FONTE PAGADORA: INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12551","CADERNO:AULA INAUGUARAL 2013 PROFº ANTONIO DIMAS","","2014","16","ASSISTÊNCIA ACADÊMICA","ACADÊMICA","ROSANGELA  DUARTE","200","24"," A 5","","250 FLS DE PAPEL  OFF SET 75 GRS 66 X96","","65  FLS DE PAPLE VERGÊ 120GRS 66 X 96","","12 CHAPAS DE ALUMINIO DUPLO OFF SET ( CATÚ 510 )","","IMPRESSÃO EM 2 CORES ( AZUL REAL )","R$150.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPOSÁVEL:ROSÂNGELA DUARTE VICENTE<br />
FONTE PAGADORA: DIRETORIA</p>
",""
"12552","CADERNOS NEITZSCHE Nª 34","","2014","17","HUMANITAS","ADM","HELENA ( HUMANITAS )","200","268","15,5 X 21","07/10/2014","2.520 FLS DE PAPEL OFF SET 75 GRS 66 X 96","","75 FLS DE COLOR PLUS 180 GRS 66 X 96 CARTAGENA LAR","","84 CHAPAS DE ALUMINIO DUPLO OFICIO ( CATÚ 510)","","PLASTIFICAÇÃO","R$50.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA ( HUMANITAS )<br />
FONTE PAGADORA: INTEGRAL PARA A ADMINISTRAÇÃO.</p>
",""
"12553","JORNADA DE LITERATURA ITALIANA TRADUZIDA","","2014","18","DLM","ACADEMICA","PROFª.LUCIA WATAGHIN","79","64","A 5","08/10/2014","208 FLS DE PAPEL OFF SET75GRS 66 X 96","","20 FLS DE PAPLE COLOR PLUS amarelo amarelo 66x96","","30 CHAPAS DE ALUMINIO DUPLO OFICIO OFF SET CATÚ510","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:PROFª.LUCIA WATAGHIN<br />
FONTE PAGADORA: DLM</p>
",""
"12554","CADERNOS DE LITERATURA EM TRADUÇÃO Nº14","","2014","19","HUMANITAS","ADM","HELENA","200","308","16X22","09/10/2014","2890FLS DE PAPEL SULFITE 75GRS 66X96","","75 FLS DE CARTÃO 250GRS 66X96","","100 CHAPAS DE ALUMINIO","R$392.00","IMPRESSÃO 2 CORES","R$150.00","PLASTIFICAÇÃO","R$50.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL: HELENA (HUMANITAS)<br />
INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12555","REVISTA PAPIA Nº 23/1","","2014","20","HUMANITAS","ADM","HELENA","200","98","16X22","","919 FLS DE PAPEL SULFITE 75GRS 66X96","","75 FLS DE CARTÃO SUPREMO 250GRS 66X96","","30CHAPAS DE ALUMINIO DUPLO OFICIO (CATU 510)","","PLASTIFICAÇÃO","R$50.00","CAPA IMPRESSÃO EM  2 CORES","R$150.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL (HELENA)<br />
INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12556","REVISTA PAPIA Nº 23/2","","2014","21","HUMANITAS","ADM","HELENA","200","140","16X22","","1313 FLS DE PAPEL SULFITE 75GRS 66X96","","75FLS DE CARTÃO SUPREMO 250GRS 66X96","","44CHAPAS DE ALUMINIO DIPLO OFICIO (CATU 510)","","PLASTIFICAÇÃO","R$50.00","CAPA IMPRESSÃO EM 2 CORES","R$150.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL :HELENA (HUMANITAS)<br />
FONTE PAGADORA : INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12557","JORNAL O KULA ( CEUPES)","","2014","22","CENTRO CEUPES","ACADEMICA","PEDRO AUGUSTO CHIZZOLINI LONEL","300","32","A 4","","780 FLS DE PAPEL JORNAL 25GRS 66 X96","R$ 78.00","22 CHAPAS DE ALUMINIO DUPLO OFICIO (CATÚ 510)","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:PEDRO AUGUSTO CHIZZOLINI LONEL (CEUPES )<br />
FONTE PAGADORA:DIRETORIA</p>
",""
"12558","CADENO DE RESUMOS VI Encontro de Pós-graduando em língua literatura e italiana","","2014","23","DLM","ACADEMICA","PROFª.LUCIA WATAGHIN","100","68","A 5","03/11/2014","320 FLS DE PAPEL OFF SET 75GRS 66 X 96","","40FLS DE PAPEL COLLOR PLUS 180 GRS ( VERDE)","","25 CHAPAS DE ALUMINIO DUPLO OFICIO ( CATÚ 510 )","R$98.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:PROFª .LUCIA WATAGHI<br />
FONTE PAGADORA :  DLM</p>
",""
"12559","REVISTA PAISAGENS Nº 11","","2014","24","HUMANITAS","ADM","HELENA ( HUMANITAS","200","84","21,5 X 28","10/11/2014","1.580 FLS DE PAPEL OFF SET 75 GRS 66 X 96","","150 FLS DE COLOR PLUS 180 GRS ( RIO DE JANEIRO )","","53 CHAPAS DE ALUMINIO DUPLO OFICIO ( CATÚ 510)","","IMPRESSÃO EM PRETO","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA  ( HUMANITAS)<br />
FONTE PAGADORA : INTEGRAL PARA A ADMINISTRAÇÃO</p>
",""
"12560","REVISTA PAPIA Nº24.1","","2014","25","HUMANITAS","ADM","HELENA ( HUMANITAS )","200","256","16 X 22","10/11/2014","2.400 FLS DE PAPEL OFF SET 75GRS 66 X 96","","75 FLS DE PAPEL SUPREMO 250GRS 66 X 96","","40 CHAPAS DE ALUMINIO OFF SET ( HEIDELBERG)","","PLASTIFICAÇÃO","R$50.00","IMPRESSÃO DA CAPA EM PRETO","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:HELENA ( HUMANITAS )<br />
FONTE PAGADORA:INTEGRAL PARA A ADMINISTRAÇÃO .</p>
",""
"12561","REVISTA PAPIA Nº 24.2","","2014","26","HUMANITAS","ADM","HELENA","200","2014","16 X 22","10/11/2014","1.920 FLS DE PAPEL OFF SET 75 GRS 66 X96","","75 FLS DE PAPEL SUPREMO 250 GRS 66 X 96","","32 CHAPAS DE ALUMINIO OFF SET (HEIDELBERG)","","PLASTIFICAÇÃO","R$50.00","EMPRESSÃO DA CAPA EM PRETO","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA ( HUMANITAS )<br />
FONTE PAGADORA : INTEGRAL PARA A ADMINISTRAÇÃO.</p>
",""
"12476","JORNAL PERIÓDICO DOS ESTUDANTES DE FILOSOFIA","","2012","32","CAF","ACADEMICO","RAFAEL ZAMBONELLI NOGUEIRA","1000","28"," A 4","","1150 FLS DA PAPEL JORNAL 52 GRS 66 X 96","R$ 345.00","7 CHAPAS DE ALUMINIO ( HELDEBERG)","R$70.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONAÁVEL: RAFAEL ZANBONELLI NOGUEIRA :( FONTE PAGADORA : DIRETORIA )</p>
",""
"12477","O IMIGRANTE JUDEU NA OBRA DE ERICO VERISSIMO","","2012","33","HUMANITAS","ADM","HELENA","500","224","14 X21","","4.380 FLS DE PAPEL OFF SET 75GRS 66 X 96","R$ 1095.00","250 FLS DE SUPREMO 250 GRS 66 X 96","R$500.00","70 CHAPAS DE ALUMINIO DUPLO OFICIO","R$490.00","LAMINAÇÃO FOSCA","R$150.00","3 CORES DA CAPA","R$450.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA(HUMANITAS) INTEGRAL PARA HUMANITAS ( RECOLHIMENTO NA TESOURARIA).</p>
",""
"12478","DESASTRE DO PÓS-GUERRA","","2012","34","HUMANITAS","ADM","HELENA","500","252","14 X21","","4.925 FLS DE PAPEL OFF SET 75GRS 66 X 96","","250 FLS DE PAPEL SUPREMO 250 GRS 66 X 96","R$500.00","40 CHAPAS DE ALUMINIO DUPLO OFICIO","R$400.00","LAMINAÇÃO FOSCA","R$150.00","3 CORS DA CAPA","R$450.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:HELENA (HUMANITAS)INTEGRAL PARA A HUMANITAS ( RECOLHIMENTO NA TESOURARIA).</p>
",""
"12479","ASSOCIAÇÃO BRASILEIRA DE ESTUDOS CRIOLOS E SIMILARES","","2012","35","DLCV","ACADEMICA","PROFª. MÁRCIA OLIVEIRA","150","144"," A 5","","1015 FLS DE PAPEL OFF SET  75 GRS 66 X 96","","50 FLS DE CARTÃO 180 GRS 66 X96","R$65.00","50 CHAPA DE ALUMINIO DUPLO OFICIO","R$350.00","CAPA CO PAPEL BUENOS AIRES","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:PROFª MÁRCIA OLIVEIRA .(FONTE PAGADORA DIRETORIA ).</p>
",""
"12480","CADERNOS NIETZSCHE Nº 30","","2012","36","HUMANITAS","ADM","HELENA","200","340","15,5 X21","","3190  FLS DE PAPEL OFF SET 75 GRS 66 X96","","65 FLS DE CATÃO 180 GRS CARTAGENA LARANJA","","107 CHAPAS DE ALUMINIO DUPLO OFICIO","R$749.00","PLASTIFICAÇÃO","R$75.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA (HUMANITAS) FONTE PAGADORA: INTEGRAL PARA A ADMINISTRAÇÃO.</p>
",""
"12481","JORNAL DO CEUPES","","2012","37","CEUPES","ADM","MAX GIMENES","600","28"," A 4","","1.315 FLS DE PAPEL JORNAL 52 GRS 66 X96","","18 CHAPAS DE ALUMINIO DUPLO OFICIO","R$126.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: MAX GIMENES<br />
FONTE PAGADORA :DIRETORIA</p>
",""
"12482","PROGRAMA E RESUMO X ENCONTRO INTERNACIONAL DA ANPHLAE","","2012","38","SERVIÇO DE COMUNICAÇÃO SOCIAL","ADM","ELIANA BENTO","250","104","14 X 21","","1.220 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$ 305.00","160 FLS DE CARTÃO 240 GRS 50 X 66 VERDE OU AZUL","R$128.00","33 CHAPAS DE ALUMINIO DUPLO OFICIO OFF SET","R$231.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPOSÁVEL:ELIANA BENTO(FONTE PAGADORA SERVIÇO DE COMUNICAÇÃO SOCIAL) INTEGRAL PARA A ADMINISTRAÇÃO.</p>
",""
"12483","O SONHO DE SEIPIÃO","","2012","39","HUMANITAS","ADM","HELENA ( HUMANITAS )","500","228","14 X21","","4.455 FLS DE PAPEL OFF SET 75 GRS 66 X96","","315 FLS DE CARTÃO 240 GRS 50 X 66","R$252.00","75 CHAPAS DUPLO OFICIO","R$525.00","LAMINAÇÃO FOSCA","R$150.00"," 3 CORES DA CAPA","R$450.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL: HELENA ( HUMANITAS) INTEGRAL PARA A HUMANITAS ( RECOLHIMENTO NA TESOURARIA) .</p>
",""
"12484","LÍNGUA VIVA , LETRA MORTA","","2012","40","HUMANITAS","ADMINISTRATIVA","HELENA","500","324","14X21","","6350 FLS DE PAPEL SULFITE 75GRS 66X96","","400FLS DE CARTÃO SUPREMO 250GRS 66X96","R$800.00","50CHAPAS DE ALUMINIO HEIDELBERG","R$500.00","LAMINAÇÃO BRILHANTE","R$150.00","4 CORES","R$600.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL :HELENA<br />
FONTE PAGADORA:INTEGRAL PARA HUMANITAS</p>
",""
"12485","PROGRAMAÇÃO (DLCV)","","2012","41","DLCV","ACADÊMICA","PROF.SHEILA VIEIRA DE CAMARGO GRILLO","120","28","A4","","150FLS DE PAPEL SULFITE 75GRS 66X96","","50FLS DE CARTÃO COLOR PLUS 120GRS 66X96","R$65.00","20 CHAPAS DE ALUMINIO DUPLO OFICIO","R$140.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL.PROF.SHEILA VIEIRA DE CAMARGO GRILLO<br />
FONTE PAGADORA:DLCV</p>
",""
"12486","CISMA Nº1","","2012","42","HUMANITAS","ADMINISTRATIVA","HELENA","200","88","16X22","","800 FLS DE PAPEL OFFSET 75GRS 66X96","R$ 200.00","75FLS DE CARTÃO RIO DE JANEIRO","","15 CHAPAS DE ALUMINIO HEIDELBERG","R$150.00","PLASTIFICAÇÃO","R$75.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL :HELENA<br />
FONTE PAGADORA :INTEGRAL PARA A ADMINISTRAÇÃO(DIRETORIA)</p>
",""
"12487","RAPSÓDIA Nº6","","2012","43","HUMANITAS","ADMINISTRATIVA","HELENA","200","168","18X24","","3150FLS DE PAPEL OFFSET 75GRS 66X96","","100FLS DE CARTÃO 240GRS 66X96","R$80.00","105 CHAPAS DE ALUMINIO","R$735.00","LAMINAÇÃO FOSCA","R$150.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL:HELENA<br />
FONTE PAGADORA :INTEGRAL PARA ADMINISTRAÇÃO</p>
",""
"12488","O PROCESSO DE ESCOLARIZAÇÃO DA VIOLA CAIPIRA","","2012","44","HUMANITAS","ADMINISTRAÇÃO","HELENA","500","316","14X21","","6200 FLS DE PAPEL SULFITE 75GRS 66X96","R$ 1550.00","100 CHAPAS DE ALUMINIO DUPLO OFICIO","R$700.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL:HELENA<br />
INTEGRAL PARA HUMANITAS<br />
RECOLHIMENTO NA TESOURARIA</p>
",""
"12489","REVISTA ÁFRICA ESPECIAL","","2012","45","HUMANITAS","ADMINISTRAÇÃO","HELENA","400","304","16X22","","IMPRESSÃO DA CAPA E PAGINAS EM 3 CORES","R$ 900.00","4750 FLS DE PAPEL SULFITE 75GRS 66X96","","600FLS DE CARTÃO 290GRS 50X66","R$900.00","95 CHAPAS DE ALUMINIO DUPLO OFICIO","R$665.00","PLASTIFICAÇÃO DA CAPA","R$75.00","Laminação fosca","","Plastificação brilhante","","<p>RESPONSAVEL:HELENA<br />
FONTE PAGADORA=50%PARA ADMINISTRAÇÃO E 50%PARA O CENTRO DE ESTUDOS AFRICANOS</p>
",""
"12490","CUADERNOS DE RECIENVENIDO Nº 27","","2012","46"," HUMANITAS","ADMINISTRAÇÃO","HELENAS","700","24","16 X 22","08/08/2012","660 FLS DE PAPEL OFF SET 75 GRS 66 X96","R$ 165.00","350 FLS DE VERGE 180 GRS 66 X 96","R$560.00","10 CHAPAS ALUMINIO DUPLO","R$70.00","1 COR DA CAPOA","R$150.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPOSAVEL HELENA( HUMANITAS) FONTE PAGADORA : INTEGRAL PARA A HUMANITAS  RECOLHIMENTO NA TESOURARIA</p>
",""
"12491","BERGSON: A METAFISICA DA AÇÃO","","2012","47","HUMANITAS","ADM","HELENA (HUMANITAS)","500","364","16 X 22","09/05/2012","7.100 FLS DE PAPEL OFF SET 75 GRS 66 X 96","R$ 1775.00","115 CHAPAS DE ALUMINIO DUPLO OFICIO","R$805.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:HELENA HUMANITAS FONTE PAGADORA:INTEGRAL PARA A HUMANITAS RECOLHIMENTO NA TESOURARIA.</p>
",""
"12492","HYPERBOREANS_LETRAS CLÁSSICAS","","2012","48","HUMANITAS","ADM","HELENA (HUMANITAS)","500","448","16 X 22","","8.750 FLS DE PAPEL OFF SET 75GRS 66 X 96","","140 CHAPAS DE ALUMINIO DUPLO OFICIO","R$980.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>RESPONSÁVEL:HELENA HUMANITAS FONTE PAGADORA:INTEGRAL PARA A HUMANITAS RECOLHIMENTO NA TESOURARIA.</p>
",""
