"nid","title","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_pre_o_7","field_material_7","field_observa_o","field_fonte"
"13242","Timbrar Envelopes Branco 114 x 229 mm","2019","35","Almoxarifado","Administrativa","José Irineu Aparecido","7000","1","114 x 229 mm","11/08/2019","7000 Envelopes branco 114 x 229 mm","R$ 585.20","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável : José Aparecido Irineu<br />
Obs: os Envelopes foram fornecidos pelo Almoxarifado , sera cobrado so os 30% de insumos , (R$175,56)</p>
","Almoxarifado"
"13241","Timbrar Envelopes Pardo 340 x 240 mm","2019","34","Almoxarifado","Administrativa","José Irineu Aparecido","200000","1","340 x 240 mm","11/08/2019","200000Envelopes Pardo 340 x 240 mm ","R$ 2600.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável : José Irineu Aparecido<br />
Obs: os Envelopes foram fornecidos pelo Almoxarifado , sera  cobrado só os 30% de insumos , (R$780,00)</p>
","Almoxarifado "
"13234","Fornecimento de Blocos de Anotações para Recepção de Calouros do Instituto de Biociências","2019","33","Instituto de Biociências ","Administrativa","Prof.Dr.Marcos Silveira Buckeridge","1000","50","A5","10/17/2019","3200 Folhas de Papel Sulfute 75grs 66x96","R$ 448.00","3 Chapas positivas de Alumínio Heidelberg","R$34.05","70 folhas de papel kraft ","R$16.10","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Prof. Dr. Marcos Silveira Buckeridge</p>
","INSTITUTO DE BIOCIÊNCIAS (transposição de venda )"
"13232","Seminário Internacional ""A Economia Política do Turismo""","2019","32","Departamento de Geografia ","Acadêmica ","Profa Dra. Rita de Cássia Ariza da Cruz","100","324","14,8X21","10/16/2019","1520 Folhas de Papel Sulfute 75grs 66x96","R$ 212.80","50 Chapas positivas de Alumínio heidelberg","R$567.50","38 folhas de cartão Surpremo 275grs 66x96","R$27.36","120 impressão da capa (xerox)","R$42.00","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável :Profa Dra. Rita de Cássia Ariza da Cruz</p>
","Departamento de Geografia "
"13229","Fornecimento de papel -Departamento d Letras Orientais ","2019","31","Departamento de Letras Orientais ","Acadêmica ","Prof. Dr. Mamede Mustafa Jarouche","600","1","A3","10/14/2019","75 folhas de papel sulfite 75grs 66x96","R$ 10.50","75 folhas de pael super bond 75grs 66x96 (coloridos)","R$13.50","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsavel: Prof.Dr. Mamede Mustafa Jarouche<br />
Obs: 300 folhas A3  de papel sulfite 75grs (branco)<br />
         100 folhas A3 de papel color plus 75grs (Azul)<br />
         100 folhas A3 de papel color plus 75grs   (rosa)<br />
         100 folhas A3 de papel color plus 75grs  (verde)</p>
","Departamento de Letras Orientais"
"13228","Fornecimento de Papel para o Centro Interdeparmental de Línguas da FFLCH","2019","30","Centro Interdeparmental de Línguas da FFLCH","Acadêmica","Profa Mônica Ferreira Mayrink O'Kuinghttons","4000","1","A3","10/11/2019","500 Folhas de Papel Sulfute 75grs 66x96","R$ 70.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>responsável: Profa Mônica Ferreira Mayrink O'Kuinghttons</p>
","Centro Interdeparmental de Línguas da FFLCH"
"13222","BIBLIOTECAS,LIVRARIAS,ARQUIVOS-Cadernos de Resumo","2019","29","DLCV","Acadêmica","Profa Adma Muhana","100","56","14,8x21","10/09/2019","270 Folhas de Papel Sulfute 75grs 66x96","R$ 37.80","12 Chapas positivas de Alumínio Heidelberg","R$136.20","30 folhas de Cartão 275grs para impressão da capa","R$21.60","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável: Profa Adma Muhana</p>
","DLCV"
"13219","Fornecimento de Papel para o Departamento de Historia ","2019","28","Departamento de Historia ","Acadêmica","João Paulo Garrido Pimenta ","1500","1","A4","10/08/2019","200 folhas de papel Color Plus 120 grs 66x96","R$ 176.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>responsável : João Paulo Garrido Pimenta</p>
","Departamento de Historia "
"13215"," Fornecimento de papel , Departamento de Filosofia Letras e Ciências Humanas ","2019","27","Departamento FFLCH ","Acadêmica","Prof. Dra. Glória da Anunciação Alves ","1500","1","","10/01/2019","200 folhas de papel Verge branco 120 grs","R$ 120.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável :Prof. Dra. Glória da Anunciação Alves</p>
"," Departamento de Filosofia Letras e Ciências Humanas "
"13213","Fornecimento de papel ( Departamento de Historia ) ","2019","26","Departamento de História","Acadêmica","João Paulo Garrido Pimenta","4000","1","A3","09/12/2019","770 Folhas de Papel Sulfute 75grs 66x96","R$ 107.80","260 folhas de cartão Supremo 275 grs","R$205.40","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável : João Paulo Garrido Pimenta<br />
3.000 folhas de sulfite 75grs A3 ,<br />
1.000 folhas de cartão Supremo 275 grs A3</p>
","Departamento de História"
"13204","Fornecimento de 1000 folhas de papel sulfite 120grs","2019","25","Serviço de Alunos de Pós Graduação- FFLCH","Acadêmica","Regina Celi Sant Ana","1000","1","A4","08/30/2019","125 Folhas de Papel Sulfute 120grs 66x96","R$ 30.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável :Regina Celi Sant Ana</p>
","Serviço de Alunos de Pós Graduação- FFLCH"
"13201","Confecção de Blocos para IV Seminário de Estética e Critica de Arte da USP- II Encontro do GT de Filosofia e Gênero da Anpof","2019","24","Departamento de Filosofia","Acadêmica ","Prof. Oliver Tolle","500","20","A5","08/27/2019","650 Folhas de Papel Sulfute 75grs 66x96","R$ 91.00","35 folhas de papel Kraft ","R$8.05","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável: Prof. Oliver Tolle</p>
","Departamento de Filosofia"
"13199","Fornecimento de 250 Blocos de 20 folhas cada - IV Encontro de Pós- Graduação em Filosofia de USP","2019","23","Departamento de Filosofia","Acadêmica ","Prof. Oliver Tolle","250","20","A5","08/14/2019","340 Folhas de Papel Sulfute 75grs 66x96","R$ 47.60","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Observação: Fornecimento de 250 Blocos de 20 folhas cada - IV Encontro de Pós-<br />
Graduação em Filosofia de USP</p>
","Departamento de Filosofia"
"13196","Fornecimento de Blocos - Centro de Línguas - CAGLO","2019","22","Centro de línguas ","Acadêmica ","Eliane Vaz do Nascimento ","320","25","A5","08/14/2019","50 folhas de papel Kraft","R$ 11.50","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>320 Blocos de papel sulfite .<br />
observação : o papel foi fornecido pelo centro de Línguas<br />
Responsável: Eliane Vaz do Nascimento</p>
","Centro de Línguas "
"13194","Fornecimento de Papel: 1000 folhas para o Serviço de Pós-Graduação","2019","21","Serviço de Pós-Graduação","Administrativa","Juliana Zuleide de Oliveira Santos","1000","1","A4","07/25/2019","125 Folhas de Papel Super Bond 75g/m² 66 x 96cm - R$ 0,18","R$ 22.50","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Serviço de Pós-Graduação"
"13192","Blocos de rascunho para o XVII EPETUSP - A Universidade, a Sociedade e o PET - Balanços e Perspectivas","2019","20","Departamento de Filosofia","Acadêmica","Prof. Dr. Oliver Tolle (funcionária: Sra. Geni)","9000","1","A5","07/12/2019","570 Folhas de Papel Sulfite 66 x 96cm - 75 g/m² - R$ 0,14","R$ 79.80","20 Folhas de Papel Kraft 66 x 96cm - 80 gr/m² - R$ 0,23","R$4.60","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>300 Blocos com 30 folhas cada.</p>
","Departamento de Filosofia"
"13189","Fornecimento de Papel - Serv. de Alunos de Pós-Graduação","2019","19","Serviços de Alunos de Pós Graduação e Comissão de Pós Graduação ","Administração","Regina Celi Sant'Ana","5000","1","A4","07/01/2019","556 Folhas de Papel Gráfico - 90 gr/m² (66x96cm)","R$ 116.76","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Serviços de Alunos de Pós Graduação e Comissão de Pós Graduação"
"13187","Fornecimento de Folhas A3 para cartazes - DLM ","2019","18","Departamento de Letras Modernas - DLM","Administrativa","Srta. Dina","1000","1","A3","06/18/2019","250 folhas de papel gráfico 66x96cm - 75g/m² - R$ 0,14","R$ 35.00","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","",""
"13185","Fornecimento de papel para cartazes de divulgação de evento - Papel A3","2019","17","Centro de Estudos das Literaturas e Culturas de Língua Portuguesa - CEP/FFLCH","Administrativa","Marinês Mendes","1000","1","A3","06/03/2019","250 Folhas de Papel Gráfico 66 x 96cm - 75 g/m² - R$ 0,14","R$ 35.00","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Centro de Estudos das Literaturas e Culturas de Língua Portuguesa - CEP/FFLCH"
"13183","Confecção de blocos para eventos - Centro de Línguas da FFLCH","2019","16","Centro Interdepartamental de Línguas - FFLCH","Administração","Eliane Vaz do Nascimento","100","20","A5","05/22/2019","112 Folhas de Papel Gráfico 75g/m² - 66 x 96cm - R$ 0,14","R$ 15.68","10 Folhas e Papel Kraft 80 g/m² - 66 x 96cm - R$ 0,23","R$2.30","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Centro Interdepartamental de Línguas - FFLCH"
"13181","Fornecimento de papel A3 - Centro de Línguas da FFLCH","2019","15","Centro Interdepartamental de Línguas - FFLCH","Administrativa","Eliane Vaz do Nascimento","2000","1","A3","05/22/2019","500 Folhas de Papel Gráfico 75g/m² - 66 x 96cm - R$ 0,14","R$ 70.00","Chapas positivas de Alumínio","","Fotolito","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Centro Interdepartamental de Línguas - FFLCH"
"13177","Fornecimento de papel para cartazes - Departamento de Geografia","2019","14","Secretaria do Departamento de Geografia","Administrativa","Srta. Cristina Parada","500","1","A3","05/09/2019","125 Folhas de Papel Gráfico 66 x 96cm - 75g/m²","R$ 17.50","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Geografia"
"13175","Cartazes para o evento: Universidades e Liberdades Democráticas","2019","13","Diretoria da FFLCH","Administrativa","Prof. Dr. Paulo Martins","200","1","A3","05/07/2019","50 Folhas de Papel Supremo 250 g/m² - R$ 0,91","R$ 45.50","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Diretoria da FFLCH"
"13173","Fornecimento de papel Vergê 120 gr/m² - Diamante - Serviço de Comunicação Social","2019","12","Serviço de Comunicação Social","Administrativa","Eliana B. da S. A. Barros","250","1","A4","04/16/2019","32 Folhas de Papel Vergê 120 gr/m² - Diamante (66 x 96cm) - R$ 0,60","R$ 19.20","Chapas Positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Serviço de Comunicação Social - FFLCH"
"13171","Blocos de papel sulfite para o XXII Encontro Nacional de Pesquisa na Graduação em Filosofia da USP","2019","11","Departamento de Filosofia","Acadêmica","Prof. Dr. Oliver Tolle - Sra. Geni","250","30","A5","04/12/2019","500 Folhas de Papel Sulfute 75grs (66x96cm) ","R$ 70.00","20 folhas de papel kraft (66x96cm) - ","R$4.60","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Filosofia"
"13167","Folders para o XIV Semana de Filologia na USP","2019","10","Departamento de Letras Clássicas e Vernáculas - DLCV","Acadêmica","Sr. Walquir (Seção de Editoração e Distribuição da FFLCH)","100","2","A4","04/05/2019","19 Folhas de Papel Gráfico 75grs (branco) - 66 x 96cm - R$ 0,14","R$ 2.66","03 Chapas Positivas de Alumínio para Catu 510 - R$ 3,92","R$11.76","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Letras Clássicas e Vernáculas - DLCV"
"13166","Blocos para rascunho: XIV Semana de Filologia na USP","2019","9","Departamento de Letras Clássicas e Vernáculas - DLCV","Acadêmica","Sr. Walquir (Seção de Editoração e Distribuição da FFLCH)","150","20","A5","04/05/2019","282 Folhas de Papel Gráfico 75 gr (66 x 96cm) - R$ 0,14","R$ 39.48","03 Chapas Positivas de Alumínio para Off-Set Catu 510 - R$ 3,92","R$11.76","12 Folhas de Papel Kraft (66 x 96cm) - R$ 0,23","R$2.76","Uso de tintas de impressão (duas cores - preto) R$ 70,00","R$70.00","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os blocos deverão possuir 20 páginas cada com kraft.</p>
","Departamento de Letras Clássicas e Vernáculas - DLCV"
"13165","Papel A3 para Cartazes da XIV Semana de Filologia na USP","2019","8","Departamento de Letras Clássicas e Vernáculas - DLCV","Acadêmica","Sr. Walquir (Seção de Editoração e Distribuição da FFLCH)","35","1","A3","04/05/2019","12 Folhas de Papel Gráfico 75gr/m² 66 x 96cm - R$ 0,14","R$ 1.68","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>A impressão será feita em copiadora.</p>
","Departamento de Letras Clássicas e Vernáculas - DLCV"
"13161","Fornecimento de papel no tamanho A3 - DLCV","2019","7","Departamento de Letras Clássicas e Vernáculas - DLCV","Administrativa","Professor Dr. Manoel Mourivaldo Santiago Almeida","1000","1","A3","03/29/2019","250 Folhas de Papel Gráfico - 66 x 96cm - 75 gr/m²","R$ 35.00","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Letras Clássicas e Vernáculas - DLCV"
"13153","Fornecimento de Papel - A3 para material de divulgação - CELP","2019","6","CELP - Centro de Estudos das Literaturas e Culturas de Língua Portuguesa - FFLCH/USP","Administrativa","Srta. Marinês","1000","1","A3","03/21/2019","125 Folhas de Papel Gráfico (66 x 96cm) - 75 gr/m² - R$ 0,14","R$ 17.50","125 Folhas de Papel Color Plus (66 x 96) - 120 gr/m² MADRID - R$0,88","R$110.00","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","CELP - Centro de Estudos das Literaturas e Culturas de Língua Portuguesa - FFLCH/USP"
"13146","Folhas de Prova - 2019 (Complemento)","2019","5","Seção de Almoxarifado","Administrativa","José Aparecido Irineu","40000","2","A3","02/20/2019","10.000 Folhas de Papel Off-set 75 g/m² - R$ 0,138","R$ 1380.00","03 Chapas Positivas de Alumínio - Heidelberg - R$ 11,35","R$34.05","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Será cobrado apenas o valor referente aos 30% que corresponde R$ 424,22 (O material foi fornecido pela Seção de Almoxarifado).</p>
","Seção de Almoxarifado"
"13141","Fornecimento de papel para a sinalização - Biblioteca Florestan Fernandes","2019","4","Biblioteca Florestan Fernandes","Administrativa","Dorcas Rosa","500","1","A4","02/05/2019","56 Folhas de Papel Color Plus 120gr/m² (Marfim) 66 x 96cm - R$ 1,18","R$ 66.08","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Biblioteca Florestan Fernandes"
"13138","Fornecimento de Papel - Biblioteca Florestan Fernandes","2019","3","Biblioteca Florestan Fernandes (Serviço de Biblioteca e Documentação - SVBIBDC)","Administrativa","Srta. Adriana Cybele Ferrari","500","1","A4","02/04/2019","70 Folhas de Papel Color Plus (Marfim) - 120gr/m² - R$ 1,18","R$ 82.60","Chapas Positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Biblioteca Florestan Fernandes (Serviço de Biblioteca e Documentação - SVBIBDC)"
"13135","Folhas de Prova - 2019","2019","2","Seção de Almoxarifado","Administrativa","José Aparecido Irineu","40000","2","A3","01/30/2019","10.000 Folhas de Papel Off-set 75 g/m² - R$ 0,138","R$ 1380.00","03 Chapas Positivas de Alumínio - Heidelberg - R$ 11,35","R$34.05","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Será cobrado apenas o valor referente aos 30% que corresponde R$ 424,22 (O material foi fornecido pela Seção de Almoxarifado).</p>
","Seção de Almoxarifado"
"13130","Fornecimento de Papel A4 - 120grs - CCINT (2019)","2019","1","Comissão de Cooperação Internacional - CCINT/FFLCH","Administrativa","Srta.Vivian Pamela Viviani de Castro","1000","1","A4 - 120 gr/m²","01/15/2019","125 Folhas de Papel Vergê - Diamante - 120grs (66x96cm) - R$ 0,60","R$ 75.00","Chapas Positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Comissão de Cooperação Internacional - CCINT/FFLCH"
"13124","Fornecimento de Papel A3 para cartazes - LABGEA","2018","44","Laboratório de Geografia Agrária","Administrativa","Profa. Dra. Valéria de Marcos","1","190","A3","12/19/2018","22 Folhas de Papel Gráfico 120gr - 66 x 96cm - R$ 0,24","R$ 5.28","24 Folhas de Papel Gráfico 180gr - 66 x 96cm - R$ 0,40","R$9.60","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Geografia"
"13114","Evento: Artes Tradicionais do Japão: Ikebana e Cerimônia do Chá (flyers)","2018","43","Departamento de Letras Orientais - DLO","Administração","Professora Junko Ota","400","2","16 x 22","11/13/2018","32 Folhas de Papel Vergê Berilo 120 gr/m² ( 66x96cm)","R$ 25.92","03 Chapas Positivas de Alumínio","R$11.76","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Letras Orientais - DLO"
"13111","Fornecimento de papel para cartazes para o Departamento de Letras Orientais ","2018","42","Departamento de Letras Orientais - DLO ","Administração","Srta. Kátia Müller","300","1","A3","11/01/2018","75 Folhas de Papel Gráfico 75g/m²  66 x 96","R$ 10.50","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Letras Orientais - DLO"
"13101","Fornecimento de Papel - A4/180gr/m² e Composição de Blocos (agenda) com papel kraft - Centro de Línguas - FFLCH","2018","41","Centro Interdepartamental de Línguas - FFLCH/USP","Administrativa","Eliane Vaz do Nascimento","700","1","A4","10/15/2018","80 Folhas de Papel Gráfico (Fibra Longit) - 180 gr/m² - R$ 0,40","R$ 32.00","20 Folhas de Papel Kraft 80 gr/m² - 66 x 96cm - R$ 0,23","R$4.60","Chapas de impressão Off-Set","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Centro Interdepartamental de Línguas - FFLCH/USP"
"13099","Convite para a Outorga de Professora Emérita a Profa. Eva Blay","2018","40","Assistência Acadêmica","Acadêmica","Rosângela Duarte Vicente / Srta. Helena Rodrigues","100","2","A4","10/08/2018","19 Folhas de Papel Gráfico 75grs. (66 x 96cm) - R$ 0,14","R$ 2.66","03 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$11.76","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Assistência Acadêmica"
"13095","Cartões para Estágio não Obrigatório de Graduação","2018","39","SAEG - Serviço de Assistência ao Ensino de Graduação - Estágios","Acadêmica","Sra. Ilza Cavalcante da Silva","20000","1","8x12cm","10/02/2018","625 Folhas de cartolina 180 gr/m² (66 x 96cm) - R$ 0,40","R$ 250.00","04 Chapas Positivas de Alumínio - Heidelberg - R$ 11,35","R$45.40","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","SAEG - Serviço de Assistência ao Ensino de Graduação - Estágios"
"13093","Fornecimento de Papel para Cartazes - Diretoria FFLCH","2018","38","Diretoria da FFLCH","Administrativo","Sr. Abílio","50","1","A3","10/02/2018","15 Folhas de Papel Sulfite 75gr/m² (66 x 96cm) - R$ 0,14","R$ 2.10","Chapas positivas de alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Diretoria da FFLCH"
"13087","Encarte para as Cartilhas sobre Violência de Gênero e Cartazes para o evento: FFLCH discute Direitos Humanos","2018","37","Departamento de Letras Modernas - DLM","Administrativo","Profa. Dra. Elizabeth Harkot de La Taille","660","2","A5 e A3 (cartazes)","09/19/2018","34 Folhas de Papel Gráfico 75 g/m² - 66 x 96cm (para os encartes) - R$ 0,14","R$ 4.76","15 Folhas de Papel Supremo 250 g/m² - 66 x 96cm (para os cartazes) - R$ 0,91","R$13.65","06 Chapas positivas de alumínio (Impressora Offset Catu 510) - R$ 3,92","R$23.52","Impressão das capas (cores) - 01 cor - Amarelo - R$ 70,00 por cor","R$70.00","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Departamento de Letras Modernas - DLM"
